%   time (s) 	    East (m)	     North (m)	   Psi (rad)	    gyro (rad/s)   radar (m/s)
%--------------------------------------------------------------------------------------------------
   0.0000000e+00  -6.3857974e+01   5.3708156e+01   4.7121200e+00   5.2234000e-02   2.1304800e+00
   2.0000000e-01  -6.4307663e+01   5.3719514e+01   4.7132530e+00   3.5178000e-02   2.1436800e+00
   4.0000000e-01  -6.4738602e+01   5.3703029e+01   4.7144910e+00   3.1980000e-02   2.0539200e+00
   6.0000000e-01  -6.5168989e+01   5.3685081e+01   4.7147160e+00   1.9188000e-02   2.1093600e+00
   8.0000000e-01  -6.5618864e+01   5.3702669e+01   4.7116450e+00   3.8376000e-02   2.1304800e+00
   1.0000000e+00  -6.6052782e+01   5.3721391e+01   4.7126130e+00   1.9188000e-02   2.1278400e+00
   1.2000000e+00  -6.6495577e+01   5.3738748e+01   4.7059550e+00   1.8122000e-02   2.1357600e+00
   1.4000000e+00  -6.6948051e+01   5.3715215e+01   4.7034630e+00   5.0102000e-02   2.1436800e+00
   1.6000000e+00  -6.7396829e+01   5.3704192e+01   4.7013510e+00   4.2640000e-02   2.1120000e+00
   1.8000000e+00  -6.7833581e+01   5.3702636e+01   4.6978550e+00   4.1574000e-02   2.1436800e+00
   2.0000000e+00  -6.8247861e+01   5.3701491e+01   4.7022330e+00   4.6904000e-02   2.1648000e+00
   2.2000000e+00  -6.8684457e+01   5.3701352e+01   4.6973650e+00   6.6092000e-02   2.0935200e+00
   2.4000000e+00  -6.9141283e+01   5.3674579e+01   4.7006890e+00   7.8884000e-02   2.1516000e+00
   2.6000000e+00  -6.9572698e+01   5.3646459e+01   4.7030370e+00   6.1828000e-02   2.1436800e+00
   2.8000000e+00  -7.0002358e+01   5.3646235e+01   4.7033520e+00   4.7970000e-02   2.1199200e+00
   3.0000000e+00  -7.0443876e+01   5.3660048e+01   4.7024570e+00   4.3706000e-02   2.1146400e+00
   3.2000000e+00  -7.0873863e+01   5.3677018e+01   4.7059190e+00   5.1168000e-02   2.1357600e+00
   3.4000000e+00  -7.1332896e+01   5.3728732e+01   4.7021480e+00   3.9442000e-02   2.1410400e+00
   3.6000000e+00  -7.1749192e+01   5.3685846e+01   4.7018920e+00   5.7564000e-02   2.1516000e+00
   3.8000000e+00  -7.2184593e+01   5.3680842e+01   4.7028920e+00   5.8630000e-02   2.1700800e+00
   4.0000000e+00  -7.2626936e+01   5.3678931e+01   4.7107760e+00   2.6650000e-02   2.1278400e+00
   4.2000000e+00  -7.3068906e+01   5.3679369e+01   4.7129200e+00   3.1980000e-02   2.1040800e+00
   4.4000000e+00  -7.3509447e+01   5.3683162e+01   4.7158030e+00   2.6650000e-02   2.1384000e+00
   4.6000000e+00  -7.3943445e+01   5.3690049e+01   4.7142150e+00   4.6904000e-02   2.1436800e+00
